"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","X","Y","Z","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle"
0.4169997870922089,0.6367572546005249,-0.2039494067430496,0.4169997973838886,0.6367572599865338,-0.2039494075407864,23.0,0.0,3322.0,0.788,209484664.0,209484664.0,-15.0
0.477483868598938,0.7285612225532532,-0.2011062353849411,0.4774838649081754,0.7285612108439016,-0.2011062425834153,18.0,2.0,3324.0,0.894,209484669.0,209484669.0,-13.0
0.5554425716400146,0.8471906781196594,-0.1969148814678192,0.5554425638321624,0.8471907028801859,-0.1969148832285942,9.0,4.0,3325.0,1.032,209484673.0,209484673.0,-11.0
0.6621176600456238,1.00912880897522,-0.1911629140377045,0.6621176310316607,1.009128823350452,-0.1911629162791621,14.0,6.0,3327.0,1.222,209484678.0,209484678.0,-9.0
0.8760153651237488,1.334113359451294,-0.195965901017189,0.8760153867887656,1.334113340950528,-0.1959659041954772,13.0,8.0,3329.0,1.608,209484683.0,209484683.0,-7.0
1.203253984451294,1.8317791223526,-0.1917426288127899,1.203253964926482,1.83177909644647,-0.191742634044848,9.0,10.0,3330.0,2.2,209484687.0,209484687.0,-5.0
2.029678344726563,3.087540864944458,-0.1936430335044861,2.029678363520159,3.087540787496411,-0.1936430380988922,10.0,12.0,3332.0,3.7,209484692.0,209484692.0,-3.0
10.53874206542969,16.01931953430176,-0.3347022533416748,10.53874212311737,16.0193187391299,-0.3347022506542232,3.0,14.0,3334.0,19.178,209484696.0,209484696.0,-1.0
0.4256040155887604,0.6449723839759827,-0.2070552408695221,0.4256040147300991,0.6449723651883404,-0.2070552360820166,33.0,0.0,3342.0,0.8,209484719.0,209484719.0,-15.0
0.4692853093147278,0.7106285095214844,-0.1966072171926498,0.4692853147469774,0.710628520267968,-0.196607221496538,20.0,2.0,3344.0,0.874,209484724.0,209484724.0,-13.0
0.5616429448127747,0.8501608967781067,-0.1980597376823425,0.5616429181684238,0.8501609100465549,-0.1980597372008535,7.0,4.0,3345.0,1.038,209484729.0,209484729.0,-11.0
0.6754409074783325,1.021641731262207,-0.1939787417650223,0.6754409014184962,1.021641736822984,-0.1939787366498863,14.0,6.0,3347.0,1.24,209484733.0,209484733.0,-9.0
0.8762855529785156,1.324425220489502,-0.194990947842598,0.8762855466914492,1.324425222612792,-0.194990949448236,13.0,8.0,3349.0,1.6,209484738.0,209484738.0,-7.0
1.218438148498535,1.840859174728394,-0.1931371241807938,1.218438123762129,1.840859198621933,-0.1931371259288105,14.0,10.0,3350.0,2.216,209484742.0,209484742.0,-5.0
2.033825874328613,3.070446491241455,-0.1930150091648102,2.03382587196342,3.070446470751474,-0.1930150066239769,9.0,12.0,3352.0,3.688,209484747.0,209484747.0,-3.0
8.901935577392578,13.42897796630859,-0.2812280654907227,8.901935359281929,13.42897813043447,-0.2812280773303865,2.0,14.0,3354.0,16.114,209484752.0,209484752.0,-1.0
0.4192957282066345,0.6306131482124329,-0.2029141336679459,0.4192957395940379,0.6306131445288409,-0.2029141313603763,24.0,0.0,3362.0,0.784,209484775.0,209484775.0,-15.0
0.4803993999958038,0.7219652533531189,-0.2002064436674118,0.4803994059653248,0.7219652296232474,-0.2002064383660399,18.0,2.0,3364.0,0.89,209484779.0,209484779.0,-13.0
0.559167742729187,0.8400238156318665,-0.1961516439914703,0.5591677369582537,0.8400237932506668,-0.1961516472470881,9.0,4.0,3365.0,1.028,209484784.0,209484784.0,-11.0
0.6746222972869873,1.012701749801636,-0.192727267742157,0.6746223171786114,1.012701798190933,-0.1927272609295644,14.0,6.0,3367.0,1.232,209484789.0,209484789.0,-9.0
